Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1804.066527
FDW14,OUT017,1498.957875
NCN55,OUT010,644.7036896
FDQ58,OUT017,2082.264424
FDY38,OUT027,5442.309442
FDH56,OUT046,2017.14807
FDL48,OUT018,849.1141216
FDC48,OUT027,2307.482483
FDN33,OUT045,1429.796205
FDA36,OUT017,2792.42604
FDT44,OUT017,1767.705131
FDQ56,OUT045,1437.011916
NCC54,OUT019,640.3486778
FDU11,OUT049,2121.582083
DRL59,OUT013,796.5358032
FDM24,OUT049,2665.16474
FDI57,OUT045,3539.024541
DRC12,OUT018,3065.518035
NCM42,OUT027,2845.95642
FDA46,OUT010,493.8809333
FDA31,OUT013,3076.510396
NCJ31,OUT035,3445.402843
FDG52,OUT046,831.4874244
NCL19,OUT019,285.0346392
FDS10,OUT035,3235.503332
FDX22,OUT010,511.1989342
NCF19,OUT035,819.7348397
NCE06,OUT046,2525.312807
DRC27,OUT046,3678.873842
FDE21,OUT035,2325.058049
NCR42,OUT019,145.1892723
FDX51,OUT018,2655.203503
NCR06,OUT018,778.2570904
FDU31,OUT027,5259.399209
FDU59,OUT017,2296.624864
FDR03,OUT027,5224.734473
FDS49,OUT027,2539.506436
FDD48,OUT010,222.0728332
NCF18,OUT017,3084.499367
NCD43,OUT027,2683.133097
NCD54,OUT018,1915.383897
FDY19,OUT010,260.3692103
NCY54,OUT017,2430.292312
NCL19,OUT018,2035.611808
FDP23,OUT010,534.2881192
FDC26,OUT013,2024.125618
FDR14,OUT010,188.7322755
NCS41,OUT035,3096.015448
FDF41,OUT035,4121.765005
FDU34,OUT046,2063.196945
DRH11,OUT046,973.0187904
FDM03,OUT013,2094.156619
FDS31,OUT017,3201.141854
FDJ20,OUT017,2088.047019
FDV44,OUT027,4919.532448
FDG02,OUT049,2833.589071
FDA09,OUT013,3639.520529
FDT04,OUT013,685.0825457
FDL58,OUT019,558.081107
FDE52,OUT045,1347.793052
FDW12,OUT035,2789.487207
FDL51,OUT017,3342.293227
NCY42,OUT027,3089.588605
FDR07,OUT017,1917.021559
FDN40,OUT045,2340.736552
FDB35,OUT027,2696.003525
FDA22,OUT017,2817.590111
NCL06,OUT046,3722.305079
FDI35,OUT013,3169.968736
NCW42,OUT045,3520.174733
NCX06,OUT049,3359.270811
FDC37,OUT027,2667.447435
FDZ14,OUT018,1727.991066
DRG49,OUT049,4435.662781
NCG06,OUT045,3666.190382
DRC36,OUT045,2831.483429
FDV21,OUT019,360.031365
FDB53,OUT046,3006.690268
DRP47,OUT019,574.8733836
FDA14,OUT013,2091.959872
DRC24,OUT035,2723.519733
FDW21,OUT018,1492.466906
NCH29,OUT046,2027.294591
FDU58,OUT013,3093.509714
FDY27,OUT017,2340.112034
FDV56,OUT035,1927.208181
FDT59,OUT046,3960.632543
FDB23,OUT046,3736.49527
FDR49,OUT045,880.6005267
FDB03,OUT010,614.8597168
FDN39,OUT045,2830.967822
FDX02,OUT027,5286.984103
FDQ16,OUT027,2812.855951
FDU35,OUT018,1554.85583
NCT29,OUT013,1794.716119
FDZ27,OUT046,878.0871546
FDN57,OUT017,2377.81301
FDA03,OUT018,2067.391943
FDZ36,OUT045,3117.884266
NCU05,OUT013,1232.154829
FDT39,OUT018,2237.977284
FDK60,OUT017,1718.170486
FDZ25,OUT017,3044.6469
FDG12,OUT046,2271.123597
DRB01,OUT019,593.915932
NCC43,OUT027,5349.386194
FDX13,OUT019,633.8321155
FDM22,OUT049,957.6664922
FDJ03,OUT027,2107.115384
FDU14,OUT018,3715.38665
FDB33,OUT010,381.5145868
FDP27,OUT046,3439.898867
FDO38,OUT010,190.3842688
FDE28,OUT027,5396.069302
FDO27,OUT035,1607.506432
DRL23,OUT027,2668.678967
FDS28,OUT046,938.6055007
FDX24,OUT013,1262.870091
FDZ02,OUT035,1418.41755
FDL46,OUT045,1612.195786
FDS60,OUT027,4569.59828
NCO06,OUT017,665.0206449
FDO16,OUT035,1661.888214
FDC60,OUT049,1588.751857
FDA48,OUT018,3319.166411
